연변,시군구,중개업소명,위도,경도
1,중구,삼일부동산,35.10083973,129.0359033
2,중구,한성부동산중개사무소,35.10532503,129.03528
3,중구,한일부동산중개인사무소,35.099449,129.0362037
4,중구,태양부동산,35.10523601,129.0234874
5,중구,아파트부동산,35.1063843,129.02733
6,중구,신창부동산중개인사무소,35.09974395,129.0291002
7,중구,대성부동산,35.10043429,129.0252919
8,중구,영신부동산합동사무소,35.09883384,129.0343533
9,중구,영신부동산,35.09883384,129.0343533
10,중구,새부산부동산,35.10305283,129.0300741
11,중구,부산부동산,35.10015293,129.0255187
12,중구,로얄공인중개사,35.09815874,129.0321293
13,중구,중앙공인,35.10508769,129.035628
14,중구,현대공인중개사,35.09959756,129.0261698
15,중구,부동산리더,35.09907032,129.0309343
16,중구,대림공인중개사사무소,35.09959672,129.0262685
17,중구,영진공인중개사사무소,35.10776175,129.035991
18,중구,OK공인중개사사무소,35.09893866,129.0326327
19,중구,굿모닝 공인중개사,35.1011218,129.030313
20,중구,부원공인중개사,35.10803524,129.0356325
21,중구,신창부동산,35.10031889,129.0303907
22,중구,금터공인중개사,35.09951271,129.0276714
23,중구,천진공인중개사 사무소,35.10200219,129.0253555
24,중구,재덕공인중개사 사무소,35.10305403,129.0352184
25,중구,탑공인중개사사무소,35.10789836,129.0358282
26,중구,천봉공인중개사,35.10151873,129.0249655
27,중구,중앙공인중개사무소,35.10341158,129.0249783
28,중구,마당발부동산중개사무소,35.09830487,129.0255394
29,중구,가람공인중개사사무소,35.11147306,129.0352263
30,중구,반도부동산중개합동사무소,35.10301918,129.0244798
31,중구,온누리 공인중개사사무소,35.0997831,129.0276748
32,중구,롯데공인중개사사무소,35.09951037,129.0311263
33,중구,부평공인중개사사무소,35.10333137,129.0238036
34,중구,광복 공인중개사 사무소,35.09938199,129.030324
35,중구,에이플러스 부동산중개사무소,35.1029481,129.0339008
36,중구,부자공인중개사사무소,35.10274723,129.0299716
37,중구,천지부동산공인중개사사무소,35.10363699,129.027098
38,중구,골드공인중개사사무소,35.10005349,129.0276782
39,중구,월드밸리공인중개사사무소,35.10280491,129.0263637
40,중구,세종공인중개사사무소,35.10089256,129.0254622
41,중구,고려부동산공인중개사사무소,35.09806223,129.0286403
42,중구,청솔공인중개사사무소,35.10412824,129.0233749
43,중구,자갈치부동산중개사무소,35.09738038,129.0293227
44,중구,한강공인중개사사무소,35.09828902,129.0295315
45,중구,조은부동산중개,35.09938199,129.030324
46,중구,안단테공인중개사사무소,35.10131676,129.0359861
47,중구,돈돈공인중개사사무소,35.10099168,129.0233356
48,중구,타워부동산공인중개사사무소,35.1029938,129.0327716
49,중구,KS부동산공인중개사사무소,35.1059646,129.024736
50,중구,이레공인중개사사무소,35.10410086,129.0371841
51,중구,영신부동산중개사무소,35.09883384,129.0343533
52,중구,시도부동산중개,35.1045946,129.0353147
53,중구,코모도부동산중개,35.10320936,129.0328621
54,중구,성원부동산중개사무소,35.1110117,129.037524
55,중구,미라주공인중개사사무소,35.10728977,129.038475
56,중구,세금나라공인중개사사무소,35.10198044,129.02473
57,중구,북항미래공인중개사사무소,35.10410086,129.0371841
58,중구,하이부동산공인중개사사무소,35.11174777,129.0368313
59,서구,대림비치공인중개사사무소,35.08225838,129.0246474
60,서구,금탑공인중개사사무소,35.0781853,129.0180831
61,서구,예가공인중개사사무소,35.0982649,129.0206692
62,서구,뷰공인중개사사무소,35.09801059,129.0208963
63,서구,신태양공인중개사사무소,35.11764415,129.0186403
64,서구,그린공인중개사사무소,35.09969993,129.0236594
65,서구,토성공인중개사사무소,35.10321332,129.0196341
66,서구,대신공인중개사사무소,35.11282639,129.0116253
67,서구,한결부동산중개사무소,35.11205654,129.0131406
68,서구,스타부동산공인중개사사무소,35.10843751,129.0136662
69,서구,신박사공인중개사사무소,35.11502544,129.0159748
70,서구,명공인중개사사무소,35.10649348,129.0186768
71,서구,송도힐스테이트이진베이시티공인중개사사무소,35.08504446,129.0245617
72,서구,삼익공인중개사사무소,35.11267776,129.0186003
73,서구,세원부동산중개사무소,35.09592205,129.0237767
74,서구,서울공인중개사사무소,35.10045703,129.0172525
75,서구,행운공인중개사사무소,35.11131212,129.0126926
76,서구,해솔공인중개사사무소,35.09831397,129.0244647
77,서구,구덕공인중개사사무소,35.10964219,129.0183431
78,서구,해솔부동산중개사무소,35.09831397,129.0244647
79,서구,한진부동산중개사무소,35.11185887,129.0119863
80,서구,엠룩공인중개사사무소,35.08419517,129.0237286
81,서구,아주공인중개사사무소,35.1105072,129.0173118
82,서구,남성공인중개사사무소,35.11754336,129.0113107
83,서구,현대공인중개사사무소,35.07819856,129.0165043
84,서구,대림공인중개사사무소,35.11779704,129.0122354
85,서구,바른공인중개사사무소,35.1184062,129.0191325
86,서구,88공인중개사사무소,35.10402945,129.0169131
87,서구,신동아공인중개사사무소,35.10351954,129.0207348
88,서구,자갈치공인중개사사무소,35.09636994,129.0251752
89,서구,형도공인중개사사무소,35.1050917,129.0202937
90,서구,가람공인중개사사무소,35.07799273,129.0163263
91,서구,명성탑스빌공인중개사사무소,35.07786947,129.018123
92,서구,대신참조은공인중개사사무소,35.11205488,129.0165632
93,서구,부경공인중개사사무소,35.11342911,129.0139255
94,서구,일등공인중개사사무소,35.10348654,129.0203724
95,서구,롯데캐슬공인중개사사무소,35.11538534,129.0106697
96,동구,대경부동산공인중개사사무소,35.13932681,129.0591281
97,동구,포세이돈공인중개사사무소,35.13594867,129.0630016
98,동구,LBA수정공인중개사사무소,35.12973104,129.0420409
99,동구,금호공인중개사사무소,35.13732613,129.0590802
100,동구,행운공인중개사사무소,35.13036411,129.0480617
101,동구,위브공인중개사사무소,35.13623313,129.0634552
102,동구,재세부동산중개사무소,35.12435953,129.0345886
103,동구,이편한부동산중개사무소,35.12260595,129.040414
104,동구,덕인공인중개사사무소,35.12077622,129.0404017
105,동구,마리나베이시티공인중개사사무소,35.12449852,129.0435979
106,동구,나라공인중개사사무소,35.12249879,129.0413452
107,동구,대가공인중개사사무소,35.1173028,129.0376039
108,동구,한나공인중개사사무소,35.13921431,129.060652
109,동구,뉴드림공인중개사사무소,35.13025499,129.0595591
110,동구,부경부동산공인중개사사무소,35.12002671,129.0374081
111,동구,플러스부동산중개사무소,35.1224247,129.0415747
112,동구,하버시티부동산중개사무소,35.13341403,129.0590844
113,동구,Kb부동산공인중개사사무소,35.11796711,129.0389727
114,동구,온누리공인중개사사무소,35.11818382,129.0378784
115,동구,지인공인중개사사무소,35.12300469,129.0401668
116,동구,제이부동산공인중개사사무소,35.13060374,129.049535
117,동구,현대공인중개사사무소,35.13652168,129.0562388
118,동구,강남부동산공인중개사사무소,35.13866072,129.0590207
119,동구,부산항호반부동산공인중개사사무소,35.12624814,129.0350953
120,동구,금송공인중개사사무소,35.12306772,129.0391253
121,동구,우리금송공인중개사사무소,35.12306772,129.0391253
122,동구,부산공인중개사사무소,35.11888325,129.0414527
123,동구,범일부동산중개,35.13965337,129.0599225
124,동구,주민공인중개사사무소,35.12795253,129.0454963
125,동구,LK공인중개사사무소,35.13325715,129.0522684
126,동구,동원뉴딜부동산공인중개사사무소,35.14014925,129.0516439
127,동구,유림부동산중개,35.12111572,129.0438948
128,동구,협성휴포레부동산중개사무소,35.12730426,129.0464535
129,영도구,탑공인중개사 사무소,35.07534881,129.0690012
130,영도구,부백공인중개사사무소,35.09028253,129.0413626
131,영도구,보광공인중개사사무소,35.09001254,129.0444518
132,영도구,원우공인중개사사무소,35.08632956,129.0636945
133,영도구,우리 공인중개사사무소,35.07542577,129.0694737
134,영도구,두원공인중개사사무소,35.09016446,129.0663215
135,영도구,대박공인중개사사무소,35.0776451,129.0702812
136,영도구,어울림공인중개사사무소,35.08690338,129.0412319
137,영도구,남도공인중개사사무소,35.08403973,129.0419521
138,영도구,양지부동산공인중개사사무소,35.08859855,129.0422185
139,영도구,산물공인중개사사무소,35.0791806,129.0689087
140,영도구,바른부동산공인중개사사무소,35.09199557,129.0434134
141,영도구,썬공인중개사사무소,35.08945565,129.0389833
142,영도구,리치공인중개사사무소,35.09023074,129.0659605
143,영도구,명품공인중개사사무소,35.08955968,129.0436565
144,영도구,IS동삼공인중개사사무소,35.07426546,129.074283
145,부산진구,연지공인중개사사무소,35.17343027,129.0525011
146,부산진구,럭키합동공인중개사사무소,35.15523087,129.0597625
147,부산진구,신라공인중개사사무소,35.17445199,129.0645023
148,부산진구,광장부동산공인중개사사무소,35.17321258,129.0547268
149,부산진구,센트빌공인중개사사무소,35.17738668,129.0741138
150,부산진구,목련공인중개사사무소,35.15110893,129.0308449
151,부산진구,예스공인중개사사무소,35.16206557,129.0636272
152,부산진구,미라주부동산공인중개사사무소,35.16906436,129.05183
153,부산진구,자이래미안공인중개사사무소,35.17385754,129.0489716
154,부산진구,아시아드공인중개사사무소,35.1756962,129.0665166
155,부산진구,동양공인중개사사무소,35.1673307,129.0386131
156,부산진구,미진공인중개사사무소,35.17318588,129.0690636
157,부산진구,삼한파크공인중개사사무소,35.166172,129.0650968
158,부산진구,101공인중개사사무소,35.16116762,129.0560309
159,부산진구,영진공인중개사사무소,35.16201734,129.0348903
160,부산진구,왕공인중개사사무소,35.16845214,129.0496705
161,부산진구,청구공인중개사사무소,35.17411091,129.0571426
162,부산진구,신성공인중개사사무소,35.15938211,129.0310372
163,부산진구,고려공인중개사사무소,35.17375592,129.0728914
164,부산진구,현대공인중개사사무소,35.18036898,129.0475403
165,부산진구,럭키공인중개사사무소,35.15504721,129.0192386
166,부산진구,대경공인중개사사무소,35.17564438,129.0744092
167,부산진구,연지어반파크래미안공인중개사사무소,35.1730957,129.0495107
168,부산진구,BS공인중개사사무소,35.15470045,129.059602
169,부산진구,골든공인중개사사무소,35.15229359,129.0218932
170,부산진구,동일스위트공인중개사사무소,35.16712389,129.025877
171,부산진구,신화합동공인중개사사무소,35.15841801,129.0581356
172,부산진구,범내골공인중개사사무소,35.14979927,129.0582982
173,부산진구,두산공인중개사사무소,35.14639145,129.0614476
174,부산진구,대박공인중개사사무소,35.16087837,129.0633263
175,부산진구,한단공인중개사사무소,35.15939084,129.0571823
176,부산진구,서면공인중개사사무소,35.15704622,129.0500506
177,부산진구,현대공인중개사사무소,35.17239511,129.0718415
178,부산진구,태흥공인중개사사무소,35.1673357,129.0380314
179,부산진구,빨래공인중개사사무소,35.14472038,129.0587591
180,부산진구,더세정공인중개사사무소,35.17591949,129.0533785
181,부산진구,뉴동양부동산공인중개사사무소,35.15943167,129.0556023
182,부산진구,양정88공인중개사사무소,35.17360577,129.073559
183,부산진구,서강공인중개사사무소,35.17009626,129.0523702
184,부산진구,서면다인공인중개사사무소,35.14979927,129.0582982
185,부산진구,애플공인중개사사무소,35.18087022,129.050028
186,부산진구,더블루공인중개사사무소,35.15177149,129.0636467
187,부산진구,가야동원공인중개사사무소,35.15402536,129.0302671
188,부산진구,서면포스코부동산공인중개사사무소,35.15228651,129.0604267
189,부산진구,동남공인중개사사무소,35.14812937,129.0345935
190,부산진구,효은공인중개사사무소,35.14829818,129.034881
191,부산진구,베스트공인중개사사무소,35.1535025,129.0594986
192,부산진구,롯데골드로즈공인중개사사무소,35.1780131,129.0746271
193,부산진구,도시부동산중개사무소,35.15261208,129.0715597
194,부산진구,부산진부동산공인중개사사무소,35.14751593,129.0565566
195,부산진구,전포세븐공인중개사사무소,35.15056839,129.0661772
196,부산진구,창조부동산중개사무소,35.15892349,129.0590861
197,부산진구,서면오케이공인중개사사무소,35.15893988,129.0592729
198,부산진구,우리공인중개사사무소,35.15432345,129.0594215
199,부산진구,서면이편한사계절공인중개사사무소,35.15640094,129.0485826
200,부산진구,보배공인중개사사무소,35.1650205,129.0627876
201,부산진구,명품유림부동산중개,35.14802765,129.0578253
202,부산진구,온부동산공인중개사사무소,35.17193592,129.0584756
203,부산진구,동원아이파크부동산공인중개사사무소,35.16731419,129.0643652
204,부산진구,개금공인중개사사무소,35.15938211,129.0310372
205,부산진구,동일보배공인중개사사무소,35.16546001,129.0454498
206,부산진구,태화현대공인중개사사무소,35.15632575,129.041634
207,부산진구,이앤이부동산공인중개사사무소,35.16959643,129.06928
208,부산진구,길상공인중개사사무소,35.18500358,129.0484124
209,부산진구,현대힐부동산중개사무소,35.14838888,129.0536157
210,부산진구,위드공인중개사사무소,35.17564438,129.0744092
211,부산진구,한화공인중개사사무소,35.17439908,129.0488908
212,부산진구,뉴삼성공인중개사사무소,35.15580791,129.0410567
213,부산진구,꽃길공인중개사사무소,35.15726326,129.0468485
214,부산진구,비전공인중개사사무소,35.15430984,129.0589165
215,부산진구,일등공인중개사사무소,35.160019,129.0605931
216,부산진구,금탑공인중개사사무소,35.16046682,129.0578329
217,부산진구,e편한시민공원부동산중개사무소,35.16673742,129.0674203
218,부산진구,늘해랑부동산중개사무소,35.16703905,129.026315
219,부산진구,부자부동산공인중개사사무소,35.15514289,129.0687393
220,부산진구,모던공인중개사사무소,35.15755485,129.0599464
221,부산진구,롯데캐슬골드아너공인중개사사무소,35.15402536,129.0302671
222,부산진구,토마토부동산공인중개사사무소,35.17063462,129.0711378
223,부산진구,뉴B&H넘버원부동산공인중개사사무소,35.15831463,129.0544903
224,부산진구,시민공원 힐스테이트 공인중개사사무소,35.17321489,129.0616758
225,부산진구,뉴위드공인중개사사무소,35.17564438,129.0744092
226,부산진구,포도나무집공인중개사사무소,35.16036068,129.0565692
227,부산진구,대동레미안부동산중개사무소,35.1596987,129.0549582
228,부산진구,금샘e편한공인중개사사무소,35.16634695,129.0667236
229,부산진구,지인공인중개사사무소,35.15587921,129.0659941
230,부산진구,부암동일공인중개사사무소,35.16546001,129.0454498
231,부산진구,지원부동산중개,35.17771927,129.072186
232,부산진구,롯데캐슬골드공인중개사사무소,35.1516506,129.0296884
233,부산진구,하늘공인중개사사무소,35.15977522,129.0585813
234,부산진구,바른공인중개사사무소,35.15575169,129.0599888
235,부산진구,롯데공인중개사사무소,35.16340021,129.0656094
236,부산진구,케이에이치부동산중개사무소,35.15091428,129.058609
237,부산진구,조은부동산공인중개사사무소,35.16931353,129.0655879
238,부산진구,서면삼한골든공인중개사사무소,35.1650205,129.0627876
239,부산진구,청룡공인중개사사무소,35.16058782,129.0584272
240,부산진구,파인빌공인중개사사무소,35.15114335,129.0571523
241,부산진구,힘찬공인중개사사무소,35.1442671,129.0611127
242,부산진구,한솔부동산공인중개사사무소,35.16949388,129.0655792
243,부산진구,킹공인중개사사무소,35.15646841,129.0543018
244,부산진구,다율부동산중개,35.16850181,129.0687058
245,부산진구,연지래미안공인중개사사무소,35.1733503,129.0523683
246,부산진구,퀸즈부동산공인중개사사무소,35.17266575,129.0687603
247,부산진구,세계로부동산중개,35.17396687,129.0734979
248,부산진구,화지부동산중개사무소,35.17317809,129.064837
249,부산진구,나래공인중개사사무소,35.1725329,129.0745988
250,부산진구,다좋은부동산공인중개사사무소,35.16619224,129.0648446
251,부산진구,청우공인중개사사무소,35.1734833,129.0731403
252,부산진구,리더스공인중개사사무소,35.15881024,129.0545076
253,부산진구,경신공인중개사사무소,35.16092875,129.0657967
254,부산진구,스타부동산중개사무소,35.1755543,129.0703351
255,부산진구,비전컨설팅공인중개사사무소,35.15430984,129.0589165
256,부산진구,다유부동산중개,35.14979927,129.0582982
257,부산진구,명문공인중개사사무소,35.15462386,129.0621692
258,부산진구,양정부동산공인중개사사무소,35.17233934,129.0699965
259,부산진구,푸른2공인중개사사무소,35.17762356,129.0470989
260,부산진구,신가야공인중개사사무소,35.15563624,129.0400557
261,부산진구,비스타동원공인중개사사무소,35.15563624,129.0400557
262,부산진구,진공인중개사사무소,35.15459237,129.0606213
263,부산진구,삼한파크부동산중개,35.166172,129.0650968
264,부산진구,써니공인중개사사무소,35.16824518,129.0630491
265,부산진구,굿모닝부동산중개,35.17502483,129.0771785
266,부산진구,데시앙공인중개사사무소,35.1509768,129.057644
267,부산진구,해비치공인중개사사무소,35.17883601,129.0528014
268,부산진구,더샵위드부동산중개,35.15184593,129.0603003
269,부산진구,부암로타리부동산중개,35.16762139,129.0508783
270,부산진구,서면힐스테이트공인중개사사무소,35.14943396,129.0639784
271,부산진구,보광시티공인중개사사무소,35.17792598,129.0722546
272,부산진구,명인부동산공인중개사사무소,35.15893988,129.0592729
273,부산진구,하마부동산중개,35.17300805,129.0728596
274,부산진구,신세계부동산중개사무소,35.15808586,129.0548824
275,부산진구,서면데시앙부동산중개,35.1511305,129.0575911
276,부산진구,항도공인중개사사무소,35.15995432,129.0587153
277,부산진구,금당공인중개사사무소,35.15083397,129.029261
278,부산진구,김영해공인중개사사무소,35.16435051,129.0517802
279,부산진구,아이온부동산공인중개사사무소,35.1567466,129.0575432
280,부산진구,B&H넘버원부동산공인중개사사무소,35.15831463,129.0544903
281,부산진구,롯데골드부동산중개,35.17354152,129.0322701
282,부산진구,경남부동산중개사무소,35.14508512,129.0562179
283,부산진구,꿀부동산중개,35.14979927,129.0582982
284,부산진구,제이엘공인중개사사무소,35.14336767,129.0588294
285,부산진구,석박사공인중개사사무소,35.15943167,129.0556023
286,부산진구,대박부동산공인중개사사무소,35.17631844,129.0736167
287,부산진구,세븐부동산공인중개사사무소,35.15725799,129.0660341
288,부산진구,대성공인중개사사무소,35.1463408,129.0620834
289,부산진구,신화1공인중개사사무소,35.15841801,129.0581356
290,부산진구,토박이공인중개사사무소,35.17419585,129.0771456
291,부산진구,다바다부동산중개사무소,35.15683505,129.0494552
292,부산진구,복드림공인중개사사무소,35.15225569,129.0295533
293,부산진구,금빛부동산공인중개사사무소,35.15829261,129.0403749
294,부산진구,사람인부동산중개사무소,35.17817176,129.0719833
295,부산진구,스위첸강남공인중개사사무소,35.17348718,129.077773
296,부산진구,제일부동산공인중개사사무소,35.14473551,129.0601201
297,부산진구,골드라인공인중개사사무소,35.1780131,129.0746271
298,부산진구,빌딩서브공인중개사사무소,35.16194894,129.0656124
299,부산진구,금샘태양공인중개사사무소,35.16634695,129.0667236
300,부산진구,지안공인중개사사무소,35.1650205,129.0627876
301,부산진구,으뜸공인중개사사무소,35.17347529,129.0493949
302,부산진구,킹덤공인중개사사무소,35.15646841,129.0543018
303,부산진구,이룸공인중개사사무소,35.15241999,129.0595943
304,부산진구,다옴부동산중개,35.17028093,129.0683229
305,부산진구,명당공인중개사사무소,35.15096612,129.0349038
306,부산진구,돈되는plus부동산중개사무소,35.15204602,129.0662513
307,부산진구,대한부동산중개사무소,35.15643263,129.0511623
308,부산진구,성우공인중개사사무소,35.15789928,129.0669095
309,부산진구,THE한미공인중개사사무소,35.17600916,129.0544665
310,부산진구,다옴부동산공인중개사사무소,35.17028093,129.0683229
311,부산진구,태원공인중개사사무소,35.15810173,129.063367
312,부산진구,황소부동산중개,35.16585091,129.0647084
313,부산진구,금탑공인중개사사무소,35.17365917,129.0736366
314,부산진구,성원공인중개사사무소,35.1650205,129.0627876
315,부산진구,청담부동산공인중개사사무소,35.17758116,129.0745445
316,부산진구,열린공인중개사사무소,35.17633434,129.052319
317,부산진구,골든뷰공인중개사사무소,35.1650205,129.0627876
318,부산진구,가야로공인중개사사무소,35.15122524,129.0256442
319,부산진구,우리부동산공인중개사사무소,35.17738668,129.0741138
320,부산진구,후부동산중개,35.1538526,129.0637726
321,부산진구,가야고원공인중개사사무소,35.15234754,129.0356896
322,부산진구,동일골드공인중개사사무소,35.16546001,129.0454498
323,부산진구,부암삼정공인중개사사무소,35.17191186,129.0498578
324,부산진구,경희부동산공인중개사사무소,35.15402536,129.0302671
325,부산진구,명성부동산공인중개사사무소,35.17047297,129.0484341
326,부산진구,세븐부동산중개,35.15725799,129.0660341
327,부산진구,더원공인중개사사무소,35.17168935,129.0731606
328,부산진구,미래안공인중개사사무소,35.15799841,129.054574
329,부산진구,모두드림부동산중개,35.15944652,129.0590599
330,부산진구,꿈고래부동산중개사무소,35.1567466,129.0575432
331,부산진구,원탑공인중개사사무소,35.17369644,129.0785662
332,부산진구,부자부동산중개,35.15995985,129.0601423
333,부산진구,부자집부동산중개,35.15995985,129.0601423
334,부산진구,유일공인중개사사무소,35.17035827,129.0677311
335,부산진구,고래부동산공인중개사사무소,35.17418116,129.0777822
336,부산진구,삼한골든공인중개사사무소,35.1650205,129.0627876
337,부산진구,대호공인중개사사무소,35.15903633,129.065739
338,부산진구,대운공인중개사사무소,35.17030818,129.0382778
339,부산진구,1단지부동산공인중개사사무소,35.15920944,129.0269629
340,부산진구,남도공인중개사사무소,35.14172291,129.0623964
341,부산진구,양정롯데캐슬공인중개사사무소,35.17232253,129.0718955
342,부산진구,장원공인중개사사무소,35.14859351,129.0539257
343,부산진구,푸른채공인중개사사무소,35.17161445,129.0278107
344,부산진구,LG공인중개사사무소,35.15083688,129.0204043
345,부산진구,타임부동산공인중개사사무소,35.17479084,129.0730806
346,부산진구,지우부동산중개,35.15890098,129.0637067
347,부산진구,명당공인중개사사무소,35.17047297,129.0484341
348,부산진구,삼정그린코아더시티부동산중개,35.17631844,129.0736167
349,부산진구,무지개공인중개사사무소,35.16596263,129.0509009
350,부산진구,래미안미소부동산공인중개사사무소,35.17343027,129.0525011
351,부산진구,래미안미소공인중개사사무소,35.17343027,129.0525011
352,부산진구,스카이공인중개사사무소,35.16206557,129.0636272
353,부산진구,(주)대표부동산중개법인,35.15359553,129.0488209
354,부산진구,부산부동산중개법인,35.15482608,129.0576061
355,부산진구,주식회사이루다부동산중개법인,35.15798615,129.0621581
356,부산진구,제이에이케이부동산중개법인주식회사 분사무소,35.16625234,129.1583686
357,부산진구,제이에이케이부동산중개법인주식회사 분사무소,35.20372719,129.0789527
358,부산진구,신세기부동산중개법인 주식회사,35.17720647,129.0751215
359,부산진구,주식회사 오케이부동산중개법인 분사무소,35.17187176,129.1206414
360,부산진구,주식회사 제이앤유부동산중개법인,35.17338614,129.0718985
361,부산진구,주식회사 공간부동산중개법인,35.17310446,129.0701164
362,부산진구,(주)금문부동산중개,35.15938287,129.0560297
363,동래구,제일부동산중개사무소,35.21591675,129.0806519
364,동래구,제일부동산중개사무소,35.20578394,129.1017681
365,동래구,한라부동산중개사무소,35.19695358,129.1043829
366,동래구,의령부동산중개사무소,35.19987866,129.0595413
367,동래구,럭키3.1부동산중개사무소,35.20984297,129.0744099
368,동래구,삼성부동산중개사무소,35.19961652,129.0749449
369,동래구,동래부동산중개사무소,35.20452454,129.0855415
370,동래구,한주부동산중개사무소,35.2011383,129.0981911
371,동래구,한성부동산중개사무소,35.19900872,129.0934734
372,동래구,우리동래공인중개사사무소,35.21084749,129.07193
373,동래구,SK탑부동산공인중개사사무소,35.21733242,129.0816043
374,동래구,강남공인중개사사무소,35.20202474,129.0888796
375,동래구,포레나부동산중개사무소,35.19659937,129.0907727
376,동래구,롯데더바른부동산중개사무소,35.19736127,129.0982171
377,동래구,정공인중개사사무소,35.20779112,129.0709892
378,동래구,보덕부동산중개사무소,35.21776152,129.0809949
379,동래구,뉴까치부동산공인중개사사무소,35.21151502,129.0718729
380,동래구,탑공인중개사사무소,35.19476081,129.1076035
381,동래구,동래조은기운부동산중개사무소,35.19837143,129.0841637
382,동래구,BS공인중개사사무소,35.1931072,129.099159
383,동래구,원탑부동산중개사무소,35.21084749,129.07193
384,동래구,금샘공인중개사사무소,35.20079351,129.0569725
385,동래구,씨스타부동산공인중개사사무소,35.20829833,129.0717317
386,동래구,래미안퍼스트공인중개사사무소,35.21084749,129.07193
387,동래구,The스타공인중개사사무소,35.19625282,129.0649298
388,동래구,주연공인중개사사무소,35.19961652,129.0749449
389,동래구,모든래미안공인중개사사무소,35.21146016,129.0689068
390,동래구,강남공인중개사사무소,35.20098641,129.0668256
391,동래구,영동부동산중개사무소,35.19985426,129.0745637
392,동래구,현공인중개사사무소,35.20991739,129.0771895
393,동래구,사직조아공인중개사사무소,35.19785111,129.0666528
394,동래구,대우부동산중개사무소,35.20430886,129.0753802
395,동래구,다온부동산중개사무소,35.19978292,129.0642841
396,동래구,장안부동산공인중개사사무소,35.20239631,129.0715003
397,동래구,미소공인중개사사무소,35.20075409,129.0828227
398,동래구,동래래미안공인중개사사무소,35.21144711,129.0734316
399,동래구,SK삼정부동산공인중개사사무소,35.2194042,129.0837737
400,동래구,행운부동산공인중개사사무소,35.19620439,129.0673559
401,동래구,성창공인중개사사무소,35.21057043,129.0736946
402,동래구,명륜역쑥부동산중개사무소,35.21265619,129.0803779
403,동래구,보광부동산중개사무소,35.2104371,129.0775369
404,동래구,착한공인중개사사무소,35.20780402,129.0634004
405,동래구,센텀안락부동산공인중개사사무소,35.19363259,129.1018453
406,동래구,하나공인중개사사무소,35.20721524,129.0678187
407,동래구,스카이부동산중개사무소,35.19476081,129.1076035
408,동래구,대길공인중개사사무소,35.21897215,129.081692
409,동래구,골드공인중개사사무소,35.19297143,129.1061408
410,동래구,SK일등공인중개사사무소,35.21733242,129.0816043
411,동래구,동래포레나공인중개사사무소,35.19659937,129.0907727
412,동래구,대원공인중개사사무소,35.20406108,129.086963
413,동래구,청하공인중개사사무소,35.21307618,129.078769
414,동래구,복드림타운공인중개사사무소,35.20913516,129.0718965
415,동래구,복드림랜드공인중개사사무소,35.20913516,129.0718965
